Treatment,Replicate,Day,Fish #,Before.After,Control.Impact,GridLinesCrossed,BurstSwims,FreezeTimeInSeconds,EquililibriumLosses,AveraveShoalScore,AverageLocationScore
0,1,Day-1,1,Before,Control,0,0,0,0,1,1
0,1,Day-1,2,Before,Control,0,0,0,0,NA,NA
0,2,Day-1,1,Before,Control,0,0,0,0,0.8,1
0,2,Day-1,2,Before,Control,0,0,0,0,NA,NA
0,2,Day-1,3,Before,Control,0,0,0,0,NA,NA
0,2,Day-1,4,Before,Control,0,0,0,0,NA,NA
0,2,Day-1,5,Before,Control,0,0,0,0,NA,NA
0,3,Day-1,1,Before,Control,1,0,0,0,0.8,0.8
0,3,Day-1,2,Before,Control,2,0,0,0,NA,NA
0,3,Day-1,3,Before,Control,0,0,0,0,NA,NA
0,3,Day-1,4,Before,Control,0,0,0,0,NA,NA
0,3,Day-1,5,Before,Control,0,0,0,0,NA,NA
0,4,Day-1,1,Before,Control,0,0,0,0,0.5,1
0,4,Day-1,2,Before,Control,0,0,0,0,NA,NA
0,4,Day-1,3,Before,Control,0,0,0,0,NA,NA
0,4,Day-1,4,Before,Control,0,0,0,0,NA,NA
2,1,Day-1,1,Before,Impact,2,0,0,0,0.4,1.6
2,1,Day-1,2,Before,Impact,0,0,0,0,NA,NA
2,1,Day-1,3,Before,Impact,0,0,0,0,NA,NA
2,1,Day-1,4,Before,Impact,0,0,0,0,NA,NA
2,1,Day-1,5,Before,Impact,0,0,0,0,NA,NA
2,2,Day-1,1,Before,Impact,0,0,0,0,1,1
2,2,Day-1,2,Before,Impact,0,0,0,0,NA,NA
2,2,Day-1,3,Before,Impact,0,0,0,0,NA,NA
2,2,Day-1,4,Before,Impact,0,0,0,0,NA,NA
2,3,Day-1,1,Before,Impact,0,0,0,0,1,1.666666667
2,3,Day-1,2,Before,Impact,0,0,0,0,NA,NA
2,3,Day-1,3,Before,Impact,0,0,0,0,NA,NA
2,4,Day-1,1,Before,Impact,4,0,0,0,0.929411765,1
2,4,Day-1,2,Before,Impact,1,0,0,0,NA,NA
2,4,Day-1,3,Before,Impact,0,0,0,0,NA,NA
2,4,Day-1,4,Before,Impact,0,0,0,0,NA,NA
2,4,Day-1,5,Before,Impact,0,0,0,0,NA,NA
15,1,Day-1,1,Before,Impact,0,0,0,0,0.5,1.5
15,1,Day-1,2,Before,Impact,0,0,0,0,NA,NA
15,1,Day-1,3,Before,Impact,0,0,0,0,NA,NA
15,1,Day-1,4,Before,Impact,0,0,0,0,NA,NA
15,2,Day-1,1,Before,Impact,0,0,0,0,1,1
15,2,Day-1,2,Before,Impact,0,0,0,0,NA,NA
15,2,Day-1,3,Before,Impact,0,0,0,0,NA,NA
15,2,Day-1,4,Before,Impact,0,0,0,0,NA,NA
15,3,Day-1,1,Before,Impact,0,0,0,0,0.75,1.5
15,3,Day-1,2,Before,Impact,0,0,0,0,NA,NA
15,3,Day-1,3,Before,Impact,0,0,0,0,NA,NA
15,3,Day-1,4,Before,Impact,0,0,0,0,NA,NA
15,4,Day-1,1,Before,Impact,4,0,0,0,0.741176471,1.035294118
15,4,Day-1,2,Before,Impact,8,1,0,0,NA,NA
15,4,Day-1,3,Before,Impact,15,0,0,0,NA,NA
15,4,Day-1,4,Before,Impact,0,0,0,0,NA,NA
15,4,Day-1,5,Before,Impact,0,0,0,0,NA,NA
0,1,Day5,1,After,Control,0,0,240,0,1,1
0,1,Day5,2,After,Control,0,0,240,0,NA,NA
0,2,Day5,1,After,Control,0,0,240,0,0.470588235,1.552941176
0,2,Day5,2,After,Control,37,0,30,0,NA,NA
0,2,Day5,3,After,Control,32,0,30,0,NA,NA
0,2,Day5,4,After,Control,36,0,0,0,NA,NA
0,2,Day5,5,After,Control,39,0,0,0,NA,NA
0,3,Day5,1,After,Control,17,0,90,0,0.952941176,1.164705882
0,3,Day5,2,After,Control,4,0,120,0,NA,NA
0,3,Day5,3,After,Control,0,0,135,0,NA,NA
0,3,Day5,4,After,Control,0,0,135,0,NA,NA
0,3,Day5,5,After,Control,0,0,135,0,NA,NA
0,4,Day5,1,After,Control,0,0,240,0,1,1
0,4,Day5,2,After,Control,0,0,240,0,NA,NA
0,4,Day5,3,After,Control,0,0,240,0,NA,NA
0,4,Day5,4,After,Control,0,0,240,0,NA,NA
2,1,Day5,1,After,Impact,0,0,180,0,1,1
2,1,Day5,2,After,Impact,0,0,180,0,NA,NA
2,1,Day5,3,After,Impact,0,0,180,0,NA,NA
2,1,Day5,4,After,Impact,0,0,180,0,NA,NA
2,1,Day5,5,After,Impact,0,0,180,0,NA,NA
2,2,Day5,1,After,Impact,0,0,240,0,1,1
2,2,Day5,2,After,Impact,0,0,240,0,NA,NA
2,3,Day5,1,After,Impact,20,0,75,0,0.5,1
2,3,Day5,2,After,Impact,21,0,90,0,NA,NA
2,4,Day5,1,After,Impact,23,0,150,0,0.975,1.025
2,4,Day5,2,After,Impact,22,0,180,0,NA,NA
2,4,Day5,3,After,Impact,14,0,180,0,NA,NA
2,4,Day5,4,After,Impact,15,0,180,0,NA,NA
2,4,Day5,5,After,Impact,9,0,210,0,NA,NA
15,2,Day5,1,After,Impact,5,0,60,7,NA,2
15,3,Day5,1,After,Impact,0,0,240,1,0.5,1
15,3,Day5,2,After,Impact,0,0,240,3,NA,NA
15,4,Day5,1,After,Impact,20,0,210,0,0.411764706,1.431372549
15,4,Day5,2,After,Impact,2,0,225,0,NA,NA
15,4,Day5,3,After,Impact,0,0,240,0,NA,NA
