NAFCTreatment(mg/L),Replicate,NumberOfFishInTank,PrePostPredatorStimulus,AverageGridLinesCrossed,AveraveBurstEvents,AverageFreezeTimeInSeconds,AverageEquililbriumLosses,AverageShoalingScore,AverageLocationScore,TotalShoalingScore,TotalLocationScore
0,1,2,Pre,38.5,0,30,0,0.735294118,0.029411765,12.5,0.5
0,1,2,Post,111.5,10,15,0,0.75,0,12,0
0,2,4,Pre,102,0.75,30,0,0.441176471,0.397058824,7.5,6.75
0,2,4,Post,173.5,4,37.5,0,0.453125,0.15625,7.25,2.5
0,3,5,Pre,67.8,0,42,0,0.529411765,0.364705882,9,6.2
0,3,5,Post,118.4,3.8,48,0,0.475,0.4,7.6,6.4
0,4,4,Pre,3.5,0.25,198.75,0,0.588235294,0.014705882,10,0.25
0,4,4,Post,52.5,5.5,191.25,0,0.59375,0.015625,9.5,0.25
15,2,1,Pre,23,11,135,2,NA,0.882352941,NA,15
15,2,1,Post,7,2,195,3,NA,0,NA,0
15,3,2,Pre,0,0,225,0,0.5,0,8.5,0
15,3,2,Post,10,3.5,165,0,0.5,0.5,8,8
15,4,3,Pre,19.33333333,0,105,0,0.509803922,0,8.666666667,0
15,4,3,Post,44.66666667,4,90,0,0.666666667,0,10.66666667,0
2,1,5,Pre,60.4,0.2,57,0,0.647058824,0.023529412,11,0.4
2,1,5,Post,71.2,4.2,72,0,0.7625,0.05,12.2,0.8
2,2,2,Pre,46,1,112.5,0,0.617647059,0.029411765,10.5,0.5
2,2,2,Post,40.5,5,195,0,0.59375,0,9.5,0
2,3,2,Pre,153,0,37.5,0,0.529411765,0.029411765,9,0.5
2,3,2,Post,154,4.5,52.5,0,0.78125,0,12.5,0
2,4,5,Pre,43.2,0.2,57,0,0.623529412,0.2,10.6,3.4
2,4,5,Post,41.6,3.2,105,0,0.875,0.025,14,0.4
