Treatment,Rep,Fish #,BeforeAfterExperiment,Mass(g),Length(cm),CF
0,1,1,Before,7.42,6.944,2.216025578
0,1,2,Before,5.37,6.909,1.628278572
0,1,3,Before,5.16,6.666,1.742022555
0,1,4,Before,5.51,6.377,2.124723141
0,1,5,Before,5.46,7.362,1.368375228
0,2,1,Before,7.56,7.327,1.921955026
0,2,2,Before,4.78,6.752,1.552853895
0,2,3,Before,4.45,6.843,1.388738229
0,2,4,Before,6.46,6.604,2.242907299
0,2,5,Before,7.22,6.964,2.137769666
0,3,1,Before,6.91,8.288,1.213748819
0,3,2,Before,8.68,8.917,1.224231149
0,3,6,Before,5.47,6.24,2.251300964
0,3,4,Before,4.43,6.763,1.432140294
0,3,7,Before,6.61,7.033,1.900113779
0,4,1,Before,6.5,7.657,1.447896157
0,4,2,Before,7.35,6.255,3.003346201
0,4,3,Before,5.21,6.864,1.611038424
0,4,4,Before,5.55,6.499,2.02187067
0,4,5,Before,4.93,5.995,2.288122949
2,1,1,Before,4.8,5.435,2.989803129
2,1,2,Before,7.82,8.018,1.517080399
2,1,3,Before,5.12,5.564,2.972409201
2,1,6,Before,9.2,8.24,1.644395169
2,1,5,Before,3.65,6.603,1.267853204
2,2,6,Before,7.87,7.34,1.990153399
2,2,7,Before,5.72,7.043,1.637280026
2,2,3,Before,6.34,6.758,2.054162022
2,2,4,Before,5.81,7.034,1.669433178
2,2,5,Before,8.61,7.837,1.788766328
2,3,1,Before,11.11,8.801,1.629738766
2,3,7,Before,5.37,7.307,1.376438982
2,3,3,Before,6.74,6.203,2.82393407
2,3,4,Before,5.68,7.864,1.167932709
2,3,6,Before,9.52,NA,NA
2,4,1,Before,5.36,6.436,2.010558358
2,4,2,Before,5.67,6.401,2.161919791
2,4,3,Before,7.51,7.243,1.976443853
2,4,6,Before,5.68,6.169,2.419379659
2,4,5,Before,4.07,5.927,1.954742824
15,1,1,Before,5.1,6.621,1.757111869
15,1,2,Before,8.03,7.476,1.921797691
15,1,6,Before,7.08,6.786,2.265644112
15,1,4,Before,6.41,6.305,2.55742412
15,1,5,Before,8.12,7.977,1.599695242
15,2,1,Before,5.98,6.606,2.074366432
15,2,2,Before,5.05,7.018,1.461003601
15,2,3,Before,6.46,6.767,2.084702026
15,2,4,Before,7.07,7.021,2.042784221
15,2,6,Before,6.6,6.897,2.011700193
15,3,1,Before,5.99,6.898,1.824976398
15,3,2,Before,6.38,6.418,2.413356833
15,3,3,Before,9.02,8.177,1.649774339
15,3,4,Before,7.27,7.624,1.640535936
15,3,6,Before,4.35,NA,NA
15,4,6,Before,4.71,6.082,2.093541912
15,4,2,Before,4.52,6.195,1.901141765
15,4,3,Before,5,6.299,2.000576575
15,4,4,Before,4.99,NA,NA
15,4,5,Before,5.55,6.265,2.256990635
0,1,1,After,8.27,7.375,2.061671349
0,1,2,After,5.94,6.367,2.301345878
0,1,3,After,5.87,6.679,1.970170314
0,1,4,After,6.11,7.729,1.323339538
0,1,5,After,5.65,7.362,1.415992681
0,2,1,After,6.06,7.332,1.537465061
0,2,2,After,6.28,7.818,1.31423384
0,2,3,After,5.57,7.63,1.253953931
0,2,4,After,8.85,7.868,1.816980293
0,2,5,After,3.96,7.013,1.148110448
0,3,1,After,5.02,7.071,1.419911267
0,3,2,After,5.97,6.987,1.750258121
0,3,6,After,8.73,8.774,1.292472625
0,3,4,After,5.63,8.103,1.058207604
0,3,7,After,5.35,8.302,0.934987048
0,4,1,After,4.33,6.935,1.298220612
0,4,2,After,5.36,7.273,1.39323388
0,4,3,After,4.81,6.906,1.460378244
0,4,4,After,4.68,7.315,1.195646678
0,4,5,After,6.51,8.36,1.11419744
2,1,1,After,5.72,7.473,1.370601119
2,1,2,After,2.41,6.769,0.777040223
2,1,3,After,7.96,8.735,1.194329996
2,1,6,After,4.19,6.719,1.381338447
2,1,5,After,8.68,8.229,1.557681056
2,2,6,After,8.9,7.538,2.077885475
2,2,7,After,7.03,7.607,1.597037362
2,2,3,After,9.53,7.76,2.039424991
2,2,4,After,6.71,7.675,1.484182709
2,2,5,After,9.49,9.147,1.240024241
2,3,1,After,7.59,7.394,1.877601559
2,3,7,After,10.5,8.445,1.743373087
2,3,3,After,11.56,8.917,1.630427659
2,3,4,After,5.67,7.557,1.313816743
2,3,6,After,5.59,6.959,1.658713191
2,4,1,After,7.1,7.471,1.702637285
2,4,2,After,7.47,8.672,1.14541481
2,4,3,After,5.65,7.544,1.315962182
2,4,6,After,3.96,7.186,1.067169851
2,4,5,After,4.15,6.799,1.320422674
15,1,1,After,10.12,8.153,1.867360575
15,1,2,After,7.24,7.133,1.994903508
15,1,6,After,6.61,6.884,2.026183967
15,1,4,After,7.89,7.061,2.241188414
15,1,5,After,7.51,7.885,1.531915619
15,2,1,After,5.36,6.645,1.826753019
15,2,2,After,4.24,7.097,1.186154992
15,2,3,After,7.38,6.833,2.31324749
15,2,4,After,6.2,6.729,2.034886097
15,2,6,After,6.26,NA,NA
15,3,1,After,10.16,8.33,1.757756464
15,3,2,After,8.08,7.147,2.213298626
15,3,3,After,5.48,6.622,1.887178713
15,3,4,After,9.51,8.517,1.539290451
15,3,6,After,6.02,NA,NA
15,4,6,After,5.91,6.462,2.190214349
15,4,2,After,5.56,6.73,1.824020012
15,4,3,After,4.79,6.418,1.811908971
15,4,4,After,5.77,6.839,1.803839954
15,4,5,After,4.8,6.769,1.547631979
